Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
Reacting to Early Warining and Response Data in West Africa (REWARD),West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2016,240000
Avian Influenza,West Africa Region,U.S. Agency for International Development,Basic Health,Economic Support Fund,Disbursements,2015,239984
Avian Influenza,Eastern Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Obligations,2013,239875
Sahel Resilience and Learning (SAREL),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,239733
State East Asia and Pacific - Unspecified Activity,East Asia and Oceania Region,Department of State,Other Multisector,Economic Support Fund,Obligations,2014,239701
East Africa Regional Conflict and Instability Assessment,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2012,239651
wPOWER,Eastern Africa Region,Department of State,General Environmental Protection,Economic Support Fund,Disbursements,2013,239629
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2014,239600
Knowledge for Health II (K4H-II),Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2014,239127
World Health Organization/Africa Regional Offices (WHO/AFRO) Support for the Eradication of Polio,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2015,239101
"Department of Energy, Nonproliferation and International Security, Seismic Cooperation Program",South and Central Asia Region,Department of Energy,Energy,"Department of Energy, Defense Nuclear Nonproliferation",Disbursements,2016,239000
"Department of Energy, Nonproliferation and International Security, Seismic Cooperation Program",South and Central Asia Region,Department of Energy,Energy,"Department of Energy, Defense Nuclear Nonproliferation",Obligations,2016,239000
U.S. European Command (EUCOM) Detailee FY2017,Europe Region,Department of Homeland Security,"Conflict, Peace, and Security","Department of the Army, Operations and Maintenance",Obligations,2017,238901
U.S. European Command (EUCOM) Detailee FY2017,Europe Region,Department of Homeland Security,"Conflict, Peace, and Security","Department of the Army, Operations and Maintenance",Disbursements,2017,238901
International Narcotics & Law Enforcement: Other,Europe Region,Department of State,Other Social Infrastructure and Services,"Assistance for Europe, Eurasia and Central Asia (AEECA)",Disbursements,2012,238786
Final Evaluation Peace in East and Central Africa (PEACE II) Program,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,238471
Agricultural Enabling Environment,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2013,238256
Avian Influenza,Eastern Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Disbursements,2013,238196
Agriculture - Title II Farmer-to-Farmer,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Commodity Credit Corporation Fund,Disbursements,2009,238173
Support to the Intergovernmental Authority on Development (IGAD),Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2009,238000
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2003,238000
Transport Services,Eastern Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Disbursements,2010,237841
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, Development Assistance",Obligations,2014,237789
Natural Resources and Biodiversity,West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2014,237740
USAID/WA Trade Hub and African Partners Network Project,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2014,237635
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Development Assistance",Obligations,2008,236834
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Development Assistance",Disbursements,2008,236834
COMMUNITY DEVELOPMENT,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2002,236811
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2017,236790
